challenge_image_id,edgevision_image_id,local_filename,source_group_id,source_title,license_name,sha256,difficulty_score,difficulty_tags,annotation_count,head_count,small_head_count,brightness_mean,edge_box_count,intended_use,review_status,notes
edgevision_hard_027,1060,Image_01060.jpg,edgevision_image_1060,EdgeVision Dataset v1,CC BY 4.0 (theo README dữ liệu dự án; cần đối chiếu trang DOI trước khi báo cáo),837d5f6449492006c0320e8d6fa0608676c9d467fdfdc72603f22718f2f9ad0a,8.5,crowded;small_object,5,3,3,123.36,0,edgevision_hard_subset_only,candidate_review_required,Derived before challenge inference; not an external generalization benchmark.
edgevision_hard_028,1183,Image_01183.jpg,edgevision_image_1183,EdgeVision Dataset v1,CC BY 4.0 (theo README dữ liệu dự án; cần đối chiếu trang DOI trước khi báo cáo),bb482de2ed13ed88133338d812d8a4afc9cc90ee1d70666285b24a8d9e13b43e,12.8,crowded;small_object;overlapping_boxes,6,4,4,139.54,0,edgevision_hard_subset_only,candidate_review_required,Derived before challenge inference; not an external generalization benchmark.
edgevision_hard_029,1200,Image_01200.jpg,edgevision_image_1200,EdgeVision Dataset v1,CC BY 4.0 (theo README dữ liệu dự án; cần đối chiếu trang DOI trước khi báo cáo),0c39463a67f70cfaece45ef8f053051d2014563758abe6191b15b46af8a23ac0,8.5,crowded;small_object,5,3,3,151.01,0,edgevision_hard_subset_only,candidate_review_required,Derived before challenge inference; not an external generalization benchmark.
edgevision_hard_030,1231,Image_01231.jpg,edgevision_image_1231,EdgeVision Dataset v1,CC BY 4.0 (theo README dữ liệu dự án; cần đối chiếu trang DOI trước khi báo cáo),977ec7897dac3ffc90f4c042655e49ea37848302e6a11af34b2fca715dfe9e35,9.7,crowded;small_object;overlapping_boxes,4,3,3,134.55,0,edgevision_hard_subset_only,candidate_review_required,Derived before challenge inference; not an external generalization benchmark.
edgevision_hard_031,1235,Image_01235.jpg,edgevision_image_1235,EdgeVision Dataset v1,CC BY 4.0 (theo README dữ liệu dự án; cần đối chiếu trang DOI trước khi báo cáo),56c53c50237e053120240caebd95f1abc3fe74b55bbe04f463d0d46aea6c4bde,8.3,crowded;small_object;edge_truncation,6,3,2,126.48,1,edgevision_hard_subset_only,candidate_review_required,Derived before challenge inference; not an external generalization benchmark.
edgevision_hard_032,1251,Image_01251.jpg,edgevision_image_1251,EdgeVision Dataset v1,CC BY 4.0 (theo README dữ liệu dự án; cần đối chiếu trang DOI trước khi báo cáo),4e7901d5f1bb1ec0190666f77ef871925912037a3f87e1e8257505f8921d73d9,13.6,crowded;small_object;overlapping_boxes,7,4,4,131.78,0,edgevision_hard_subset_only,candidate_review_required,Derived before challenge inference; not an external generalization benchmark.
edgevision_hard_033,1321,Image_01321.jpg,edgevision_image_1321,EdgeVision Dataset v1,CC BY 4.0 (theo README dữ liệu dự án; cần đối chiếu trang DOI trước khi báo cáo),36ade53e22cfcaf87f3574cd995a0270e329ac34adaf85ebb1327d0a4cd1f55e,8.2,small_object;low_light,4,2,2,79.59,0,edgevision_hard_subset_only,candidate_review_required,Derived before challenge inference; not an external generalization benchmark.
edgevision_hard_034,1380,Image_01380.jpg,edgevision_image_1380,EdgeVision Dataset v1,CC BY 4.0 (theo README dữ liệu dự án; cần đối chiếu trang DOI trước khi báo cáo),8b8ea5c28a503e1943a323b751c7ef40226b67cc9843b60cbe425f69c5ef1ebe,8.2,small_object;overlapping_boxes,4,2,2,156.33,0,edgevision_hard_subset_only,candidate_review_required,Derived before challenge inference; not an external generalization benchmark.
edgevision_hard_035,1439,Image_01439.jpg,edgevision_image_1439,EdgeVision Dataset v1,CC BY 4.0 (theo README dữ liệu dự án; cần đối chiếu trang DOI trước khi báo cáo),21a92174f9045ac13d21dbbcc481aaa2633abb3457224f03cf607558f6404edd,8.5,crowded;small_object,5,3,3,145.72,0,edgevision_hard_subset_only,candidate_review_required,Derived before challenge inference; not an external generalization benchmark.
edgevision_hard_036,1512,Image_01512.jpg,edgevision_image_1512,EdgeVision Dataset v1,CC BY 4.0 (theo README dữ liệu dự án; cần đối chiếu trang DOI trước khi báo cáo),7566e9a2a73c2712f5d9ec773a71185830c550d9f579b6a440874a7fd4e6ea3a,12.4,crowded;small_object,13,5,4,108.19,0,edgevision_hard_subset_only,candidate_review_required,Derived before challenge inference; not an external generalization benchmark.
edgevision_hard_037,1521,Image_01521.jpg,edgevision_image_1521,EdgeVision Dataset v1,CC BY 4.0 (theo README dữ liệu dự án; cần đối chiếu trang DOI trước khi báo cáo),f3d186da25bcef1f8bb0a921d245cf95e64813d74c194e61d19ff470ebd4a178,8.5,crowded;small_object,5,4,3,153.49,0,edgevision_hard_subset_only,candidate_review_required,Derived before challenge inference; not an external generalization benchmark.
edgevision_hard_038,1776,Image_01776.jpg,edgevision_image_1776,EdgeVision Dataset v1,CC BY 4.0 (theo README dữ liệu dự án; cần đối chiếu trang DOI trước khi báo cáo),41c51c16b44e4da6d4051df09a239498702b66a1e7bf8061db6754e0dbb48562,9.0,crowded;small_object;overlapping_boxes,5,3,2,108.82,0,edgevision_hard_subset_only,candidate_review_required,Derived before challenge inference; not an external generalization benchmark.
edgevision_hard_039,1932,Image_01932.jpg,edgevision_image_1932,EdgeVision Dataset v1,CC BY 4.0 (theo README dữ liệu dự án; cần đối chiếu trang DOI trước khi báo cáo),7322a40f7a296c3a99d43ef5d8b3a564c596e8f9bd8384259d0994add03dfb72,9.8,crowded;overlapping_boxes;low_light;edge_truncation,6,4,0,74.79,2,edgevision_hard_subset_only,candidate_review_required,Derived before challenge inference; not an external generalization benchmark.
edgevision_hard_040,1951,Image_01951.jpg,edgevision_image_1951,EdgeVision Dataset v1,CC BY 4.0 (theo README dữ liệu dự án; cần đối chiếu trang DOI trước khi báo cáo),780a9615f7f0b31e80b23f3a362548946b37fbf57257ada733fe77b80bfd7d3b,12.1,crowded;small_object;overlapping_boxes,7,4,3,87.07,0,edgevision_hard_subset_only,candidate_review_required,Derived before challenge inference; not an external generalization benchmark.
edgevision_hard_041,2021,Image_02021.jpg,edgevision_image_2021,EdgeVision Dataset v1,CC BY 4.0 (theo README dữ liệu dự án; cần đối chiếu trang DOI trước khi báo cáo),3a10e9f0f08a598ea455884192776986ff13b7dea59637b730d537b94a5bd41f,9.1,crowded;small_object;edge_truncation,7,4,2,125.63,1,edgevision_hard_subset_only,candidate_review_required,Derived before challenge inference; not an external generalization benchmark.
edgevision_hard_042,2097,Image_02097.jpg,edgevision_image_2097,EdgeVision Dataset v1,CC BY 4.0 (theo README dữ liệu dự án; cần đối chiếu trang DOI trước khi báo cáo),598d628a1a209cabe941b01b1b299836d3e3ab1d9c1039d1143daa8eb0a84a05,8.5,crowded;overlapping_boxes;low_light;edge_truncation,5,3,0,62.48,1,edgevision_hard_subset_only,candidate_review_required,Derived before challenge inference; not an external generalization benchmark.
edgevision_hard_043,2136,Image_02136.jpg,edgevision_image_2136,EdgeVision Dataset v1,CC BY 4.0 (theo README dữ liệu dự án; cần đối chiếu trang DOI trước khi báo cáo),98d4e62fa07b902d08bd4422d0de5289a90b1b8d327c344000e62fd06e0fbfc6,12.4,crowded;small_object,8,5,4,118.88,0,edgevision_hard_subset_only,candidate_review_required,Derived before challenge inference; not an external generalization benchmark.
edgevision_hard_044,2148,Image_02148.jpg,edgevision_image_2148,EdgeVision Dataset v1,CC BY 4.0 (theo README dữ liệu dự án; cần đối chiếu trang DOI trước khi báo cáo),81fb1fa392af1d5a7731326261073bc59e678c839aec7d2d9fb6c33c5c5f5902,9.8,crowded;small_object;overlapping_boxes,6,4,2,118.28,0,edgevision_hard_subset_only,candidate_review_required,Derived before challenge inference; not an external generalization benchmark.
edgevision_hard_045,2247,Image_02247.jpg,edgevision_image_2247,EdgeVision Dataset v1,CC BY 4.0 (theo README dữ liệu dự án; cần đối chiếu trang DOI trước khi báo cáo),fb11339d0ab1f813a569e464111f03f0381bf3151ae886ff70ac3c3aad63a9e0,8.8,crowded;overlapping_boxes;low_light,6,4,0,84.9,0,edgevision_hard_subset_only,candidate_review_required,Derived before challenge inference; not an external generalization benchmark.
edgevision_hard_046,2268,Image_02268.jpg,edgevision_image_2268,EdgeVision Dataset v1,CC BY 4.0 (theo README dữ liệu dự án; cần đối chiếu trang DOI trước khi báo cáo),8da02ea19df5f5e58c4e6735116a486c41cd6c6af28059679810c022251e726b,18.9,crowded;small_object;overlapping_boxes,14,7,7,107.23,0,edgevision_hard_subset_only,candidate_review_required,Derived before challenge inference; not an external generalization benchmark.
edgevision_hard_047,2295,Image_02295.jpg,edgevision_image_2295,EdgeVision Dataset v1,CC BY 4.0 (theo README dữ liệu dự án; cần đối chiếu trang DOI trước khi báo cáo),ca46453a06b6ef1da4e6600bb1c4c5a66f048164df5194d4bf29a8e47a615152,9.0,crowded;small_object;overlapping_boxes,5,3,2,122.61,0,edgevision_hard_subset_only,candidate_review_required,Derived before challenge inference; not an external generalization benchmark.
edgevision_hard_048,2306,Image_02306.jpg,edgevision_image_2306,EdgeVision Dataset v1,CC BY 4.0 (theo README dữ liệu dự án; cần đối chiếu trang DOI trước khi báo cáo),872173f6a0152bffe9804a4099fa70fc39010eabc61f0387ec913d8d39ba8b09,8.5,crowded;small_object,5,3,3,107.02,0,edgevision_hard_subset_only,candidate_review_required,Derived before challenge inference; not an external generalization benchmark.
edgevision_hard_049,2343,Image_02343.jpg,edgevision_image_2343,EdgeVision Dataset v1,CC BY 4.0 (theo README dữ liệu dự án; cần đối chiếu trang DOI trước khi báo cáo),d24d44696fe685b5f8469e26f5832f6feca921230095ef90ca4d10cad818be05,9.4,crowded;small_object,8,4,2,101.98,0,edgevision_hard_subset_only,candidate_review_required,Derived before challenge inference; not an external generalization benchmark.
edgevision_hard_050,2350,Image_02350.jpg,edgevision_image_2350,EdgeVision Dataset v1,CC BY 4.0 (theo README dữ liệu dự án; cần đối chiếu trang DOI trước khi báo cáo),bab37ca45085ec6f8a778ed8452b6d2e64aa10c2340b5c5b3de08445513a0680,10.8,crowded;small_object,6,4,4,120.95,0,edgevision_hard_subset_only,candidate_review_required,Derived before challenge inference; not an external generalization benchmark.
